food_id,name,group,portion_g,energy_kcal,protein_g,carbs_g,fat_g,calculated_kcal_from_macros,meal_suggestion,provenance
10001,Sữa bò tươi,Sữa và sản phẩm chế biến,100,74.0,3.9,4.8,4.4,74.4,General,Viện Dinh dưỡng Quốc gia
10002,Sữa dê tươi,Sữa và sản phẩm chế biến,100,69.0,3.5,4.5,4.1,68.9,General,Viện Dinh dưỡng Quốc gia
10003,Sữa mẹ (sữa người),Sữa và sản phẩm chế biến,100,61.0,1.5,7.0,3.0,61.0,General,Viện Dinh dưỡng Quốc gia
10004,Sữa chua,Sữa và sản phẩm chế biến,100,61.0,3.3,3.6,3.7,60.9,General,Viện Dinh dưỡng Quốc gia
10005,Sữa chua vớt béo,Sữa và sản phẩm chế biến,100,26.0,3.4,3.1,0.0,26.0,General,Viện Dinh dưỡng Quốc gia
10006,Sữa bột toàn phần,Sữa và sản phẩm chế biến,100,494.0,27.0,38.0,26.0,494.0,General,Viện Dinh dưỡng Quốc gia
10007,Sữa bột tách béo,Sữa và sản phẩm chế biến,100,357.0,35.0,52.0,1.0,357.0,General,Viện Dinh dưỡng Quốc gia
10008,Sữa đặc có đường Việt Nam,Sữa và sản phẩm chế biến,100,336.0,8.1,56.0,8.8,335.6,General,Viện Dinh dưỡng Quốc gia
10009,Phó mát,Sữa và sản phẩm chế biến,100,380.0,25.5,0.0,30.9,380.1,General,Viện Dinh dưỡng Quốc gia
1001,"Gạo, trắng, nếp cái, sống",Ngũ cốc và sản phẩm chế biến,100,348.0,8.6,75.1,1.5,348.3,General,Viện Dinh dưỡng Quốc gia
10015,"Sữa, bò, tiệt trùng, có đường, toàn phần, trắng ",Sữa và sản phẩm chế biến,100,85.0,3.9,7.34,4.4,84.56,General,Viện Dinh dưỡng Quốc gia
1002,"Gạo, trắng, nếp thường, sống",Ngũ cốc và sản phẩm chế biến,100,350.0,8.4,75.4,1.6,349.6,General,Viện Dinh dưỡng Quốc gia
1003,"Gạo, trắng, tẻ, giã tay, sống",Ngũ cốc và sản phẩm chế biến,100,347.0,8.1,75.7,1.3,346.9,General,Viện Dinh dưỡng Quốc gia
10031,"Sữa chua, nước/uống, có đường",Sữa và sản phẩm chế biến,100,62.0,3.47,4.66,3.25,61.77,General,Viện Dinh dưỡng Quốc gia
10035,"Sữa chua, đặc, có đường",Sữa và sản phẩm chế biến,100,65.0,3.3,4.66,3.7,65.14,General,Viện Dinh dưỡng Quốc gia
10036,"Sữa chua, đặc, không đường",Sữa và sản phẩm chế biến,100,61.0,3.3,3.6,3.7,60.9,General,Viện Dinh dưỡng Quốc gia
1004,"Gạo, trắng, tẻ, xát máy, sống",Ngũ cốc và sản phẩm chế biến,100,346.0,7.9,76.3,1.0,345.8,General,Viện Dinh dưỡng Quốc gia
