entity_id,entity_type,schema_version,food_id,name,name_en,group_name,group,portion_g,portion_basis,energy_kcal,protein_g,carbs_g,fat_g,fiber_g,calculated_kcal_from_macros,kcal_gap_pct,quality_score,missing_nutrients_count,meal_suggestion,provenance,source_code,updated_at
food_10001,food,v1,10001,Sữa bò tươi,"Milk cow, fresh (Fluid)",Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,74.0,3.9,4.8,4.4,,74.4,0.54,0.84,8,General,Viện Dinh dưỡng Quốc gia,10001,2026-02-11T19:10:06Z
food_10002,food,v1,10002,Sữa dê tươi,Milk goat's whole,Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,69.0,3.5,4.5,4.1,,68.9,0.14,0.84,8,General,Viện Dinh dưỡng Quốc gia,10002,2026-02-11T19:10:06Z
food_10003,food,v1,10003,Sữa mẹ (sữa người),"Breast milk (Milk human, fluid, whole).",Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,61.0,1.5,7.0,3.0,,61.0,0.0,0.84,8,General,Viện Dinh dưỡng Quốc gia,10003,2026-02-11T19:10:06Z
food_10004,food,v1,10004,Sữa chua,Yogurt,Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,61.0,3.3,3.6,3.7,,60.9,0.16,0.84,8,General,Viện Dinh dưỡng Quốc gia,10004,2026-02-11T19:10:06Z
food_10005,food,v1,10005,Sữa chua vớt béo,Yogurt (Skimmed milk),Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,26.0,3.4,3.1,,,26.0,0.0,0.69,8,General,Viện Dinh dưỡng Quốc gia,10005,2026-02-11T19:10:06Z
food_10006,food,v1,10006,Sữa bột toàn phần,"Milk, dried, whole powder",Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,494.0,27.0,38.0,26.0,,494.0,0.0,0.84,8,General,Viện Dinh dưỡng Quốc gia,10006,2026-02-11T19:10:06Z
food_10007,food,v1,10007,Sữa bột tách béo,Skimmed milk powder,Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,357.0,35.0,52.0,1.0,,357.0,0.0,0.84,8,General,Viện Dinh dưỡng Quốc gia,10007,2026-02-11T19:10:06Z
food_10008,food,v1,10008,Sữa đặc có đường Việt Nam,Milk condensed sweetened,Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,336.0,8.1,56.0,8.8,,335.6,0.12,0.84,8,General,Viện Dinh dưỡng Quốc gia,10008,2026-02-11T19:10:06Z
food_10009,food,v1,10009,Phó mát,Cheese (type whole fat),Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,380.0,25.5,,30.9,,380.1,0.03,0.69,8,General,Viện Dinh dưỡng Quốc gia,10009,2026-02-11T19:10:06Z
food_1001,food,v1,1001,"Gạo, trắng, nếp cái, sống","Rice, white, glutinous, raw",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,348.0,8.6,75.1,1.5,,348.3,0.09,0.84,8,General,Viện Dinh dưỡng Quốc gia,1001,2026-02-11T19:10:06Z
food_10015,food,v1,10015,"Sữa, bò, tiệt trùng, có đường, toàn phần, trắng ","Milk, cow, steralized, with sugar, whole, white",Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,85.0,3.9,7.34,4.4,,84.56,0.52,0.86,7,General,Viện Dinh dưỡng Quốc gia,10015,2026-02-11T19:10:06Z
food_1002,food,v1,1002,"Gạo, trắng, nếp thường, sống","Rice, white, glutinous, raw",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,350.0,8.4,75.4,1.6,,349.6,0.11,0.84,8,General,Viện Dinh dưỡng Quốc gia,1002,2026-02-11T19:10:06Z
food_1003,food,v1,1003,"Gạo, trắng, tẻ, giã tay, sống","Rice, white, home-milled, raw",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,347.0,8.1,75.7,1.3,,346.9,0.03,0.84,8,General,Viện Dinh dưỡng Quốc gia,1003,2026-02-11T19:10:06Z
food_10031,food,v1,10031,"Sữa chua, nước/uống, có đường","Yougurt, drink/liquid, with sugar, whole, white",Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,62.0,3.47,4.66,3.25,,61.77,0.37,0.86,7,General,Viện Dinh dưỡng Quốc gia,10031,2026-02-11T19:10:06Z
food_10035,food,v1,10035,"Sữa chua, đặc, có đường","Yougurt, thick, with sugar, whole, white",Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,65.0,3.3,4.66,3.7,,65.14,0.22,0.86,7,General,Viện Dinh dưỡng Quốc gia,10035,2026-02-11T19:10:06Z
food_10036,food,v1,10036,"Sữa chua, đặc, không đường","Yogurt, thick, without sugar, whole, white",Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,61.0,3.3,3.6,3.7,,60.9,0.16,0.86,7,General,Viện Dinh dưỡng Quốc gia,10036,2026-02-11T19:10:09Z
food_1004,food,v1,1004,"Gạo, trắng, tẻ, xát máy, sống","Rice, white, polished, raw",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,346.0,7.9,76.3,1.0,,345.8,0.06,0.84,8,General,Viện Dinh dưỡng Quốc gia,1004,2026-02-11T19:10:09Z
food_10047,food,v1,10047,"Sữa đặc có đường, Việt Nam",Milk condensed sweetened,Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,328.0,7.91,54.4,8.7,,327.54,0.14,0.86,7,General,Viện Dinh dưỡng Quốc gia,10047,2026-02-11T19:10:09Z
food_10048,food,v1,10048,Sữa hộp Milo,Chocolate drink packaged ,Sữa và sản phẩm chế biến,Sữa và sản phẩm chế biến,100,per_100g,55.0,0.92,11.54,0.55,,54.79,0.38,0.84,8,General,Viện Dinh dưỡng Quốc gia,10048,2026-02-11T19:10:09Z
food_1005,food,v1,1005,"Gạo, tẻ, chưa xát (gạo lứt), sống","Rice, brown, raw",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,359.0,7.5,76.18,2.68,,358.84,0.04,0.84,8,General,Viện Dinh dưỡng Quốc gia,1005,2026-02-11T19:10:09Z
food_1006,food,v1,1006,"Kê, hạt, sống","Millet, raw",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,345.0,7.0,72.4,3.0,,344.6,0.12,0.84,8,General,Viện Dinh dưỡng Quốc gia,1006,2026-02-11T19:10:09Z
food_1007,food,v1,1007,"Ngô, cả bắp, tươi","Corn, whole corb, fresh",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,200.0,4.1,40.8,2.3,,200.3,0.15,0.84,8,General,Viện Dinh dưỡng Quốc gia,1007,2026-02-11T19:10:09Z
food_1007014,food,v1,1007014,"Ngô tươi, tẻ, nướng","Corn fresh, glutinous, grilled ",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,274.0,5.62,55.89,3.15,,274.39,0.14,0.84,8,General,Viện Dinh dưỡng Quốc gia,1007014,2026-02-11T19:10:09Z
food_1008,food,v1,1008,"Ngô, vàng, hạt, khô","Corn, yellow, seed, dried",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,362.0,8.6,71.4,4.7,,362.3,0.08,0.84,8,General,Viện Dinh dưỡng Quốc gia,1008,2026-02-11T19:10:09Z
food_1009,food,v1,1009,"Bánh bao, nhân thịt","Dumpling, with pork",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,276.0,10.4,34.2,10.8,,275.6,0.14,0.84,8,General,Viện Dinh dưỡng Quốc gia,1009,2026-02-11T19:10:09Z
food_1010,food,v1,1010,Bánh đa nem,"Vietnamese rice paper, raw",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,335.0,4.0,79.4,0.2,,335.4,0.12,0.84,8,General,Viện Dinh dưỡng Quốc gia,1010,2026-02-11T19:10:09Z
food_1011,food,v1,1011,Bánh đúc,"Rice cake made of rice flour, and lime water, cooked",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,52.0,0.9,11.4,0.3,,51.9,0.19,0.84,8,General,Viện Dinh dưỡng Quốc gia,1011,2026-02-11T19:10:09Z
food_1012,food,v1,1012,Bánh mỳ ,"Bread, French style",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,250.0,7.9,52.8,0.8,,250.0,0.0,0.84,8,General,Viện Dinh dưỡng Quốc gia,1012,2026-02-11T19:10:09Z
food_1013,food,v1,1013,Bánh phở,"Rice noodles, raw",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,146.0,3.2,31.2,0.9,,145.7,0.21,0.84,8,General,Viện Dinh dưỡng Quốc gia,1013,2026-02-11T19:10:09Z
food_1014,food,v1,1014,Bánh quẩy,"Fried breadstick, Youtiao",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,200.0,3.7,30.8,6.8,,199.2,0.4,0.84,8,General,Viện Dinh dưỡng Quốc gia,1014,2026-02-11T19:10:09Z
food_1015,food,v1,1015,Bỏng ngô,Corn flakes,Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,386.0,8.6,84.2,1.6,,385.6,0.1,0.84,8,General,Viện Dinh dưỡng Quốc gia,1015,2026-02-11T19:10:11Z
food_1016,food,v1,1016,"Bột gạo, gạo nếp thường","Rice flour, glutinous",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,365.0,8.2,79.4,1.6,,364.8,0.05,0.84,8,General,Viện Dinh dưỡng Quốc gia,1016,2026-02-11T19:10:11Z
food_1017,food,v1,1017,"Bột gạo, gạo tẻ","Rice flour, white",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,360.0,6.6,82.6,0.4,,360.4,0.11,0.84,8,General,Viện Dinh dưỡng Quốc gia,1017,2026-02-11T19:10:11Z
food_1018,food,v1,1018,"Bột mì, trắng ","Wheat flour, white",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,347.0,11.0,73.2,1.1,,346.7,0.09,0.84,8,General,Viện Dinh dưỡng Quốc gia,1018,2026-02-11T19:10:11Z
food_1019,food,v1,1019,"Bột ngô, ngô vàng","Maize flour, yellow",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,367.0,8.3,74.5,4.0,,367.2,0.05,0.84,8,General,Viện Dinh dưỡng Quốc gia,1019,2026-02-11T19:10:11Z
food_1020,food,v1,1020,"Bún, tươi","Rice vermicelli, soft noodles, fresh",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,116.0,1.7,25.3,0.9,,116.1,0.09,0.84,8,General,Viện Dinh dưỡng Quốc gia,1020,2026-02-11T19:10:11Z
food_1021,food,v1,1021,"Cốm, tươi","Rice, unriped, raw",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,307.0,4.4,68.3,1.7,,306.1,0.29,0.84,8,General,Viện Dinh dưỡng Quốc gia,1021,2026-02-11T19:10:11Z
food_1022,food,v1,1022,"Mỳ sợi, khô","Wheat noodle, dried",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,350.0,11.0,74.5,0.9,,350.1,0.03,0.84,8,General,Viện Dinh dưỡng Quốc gia,1022,2026-02-11T19:10:11Z
food_1023,food,v1,1023,"Ngô, cả bắp, nếp, luộc","Corn, whole corb, boiled",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,172.0,3.9,34.1,2.2,,171.8,0.12,0.84,8,General,Viện Dinh dưỡng Quốc gia,1023,2026-02-11T19:10:11Z
food_1024002,food,v1,1024002,Xôi nếp cẩm,"Rice glutinous (cooked), purple, boiled",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,235.0,5.59,49.21,1.71,,234.59,0.17,0.84,8,General,Viện Dinh dưỡng Quốc gia,1024002,2026-02-11T19:10:11Z
food_1027014,food,v1,1027014,"Ngô tươi, nếp, nướng","Corn fresh, regular, grilled",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,274.0,5.62,55.89,3.15,,274.39,0.14,0.84,8,General,Viện Dinh dưỡng Quốc gia,1027014,2026-02-11T19:10:11Z
food_1032,food,v1,1032,"Bánh mì, vuông, ngọt","Bread, square/sandwich type, sweet",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,384.0,7.89,52.63,15.79,,384.19,0.05,0.86,7,General,Viện Dinh dưỡng Quốc gia,1032,2026-02-11T19:10:11Z
food_1038,food,v1,1038,Bánh bao chay,"Dumplings, no filled",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,221.0,6.1,48.0,0.5,,220.9,0.05,0.84,8,General,Viện Dinh dưỡng Quốc gia,1038,2026-02-11T19:10:11Z
food_1041,food,v1,1041,"Bánh đa (đỏ, trắng)","Vietnamese style rice noodles (flat), raw",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,347.0,5.28,81.41,,,346.76,0.07,0.69,8,General,Viện Dinh dưỡng Quốc gia,1041,2026-02-11T19:10:11Z
food_1041002,food,v1,1041002,"Bánh đa (đỏ, trắng), luộc","Vietnamese style rice noodles (flat), boiled",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,97.0,1.48,22.8,,,97.12,0.12,0.69,8,General,Viện Dinh dưỡng Quốc gia,1041002,2026-02-11T19:10:11Z
food_1043,food,v1,1043,"Mỳ  ăn liền, lúa mì ","Instant noodle, wheat, uncooked",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,364.0,6.7,70.9,5.9,,363.5,0.14,0.84,8,General,Viện Dinh dưỡng Quốc gia,1043,2026-02-11T19:10:14Z
food_1043002,food,v1,1043002,"Mỳ ăn liền, lúa mì, luộc","Instant noodle, wheat, boiled",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,102.0,1.88,19.86,1.65,,101.81,0.19,0.84,8,General,Viện Dinh dưỡng Quốc gia,1043002,2026-02-11T19:10:14Z
food_1045,food,v1,1045,Sợi mỳ Quảng,,Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,1.0,5.32,82.23,0.27,,352.63,35163.0,0.69,8,General,Viện Dinh dưỡng Quốc gia,1045,2026-02-11T19:10:14Z
food_1046002,food,v1,1046002,"Nui, luộc","Macaroni, boiled",Ngũ cốc và sản phẩm chế biến,Ngũ cốc và sản phẩm chế biến,100,per_100g,371.0,13.0,74.7,1.51,,364.39,1.78,0.84,8,General,Viện Dinh dưỡng Quốc gia,1046002,2026-02-11T19:10:14Z
food_11001,food,v1,11001,Chuối nước đường,"Banana, canned sweetened",Đồ hộp,Đồ hộp,100,per_100g,63.0,0.5,15.2,,,62.8,0.32,0.69,8,General,Viện Dinh dưỡng Quốc gia,11001,2026-02-11T19:10:14Z
food_11002,food,v1,11002,Dưa chuột hộp,Cucumber (canned),Đồ hộp,Đồ hộp,100,per_100g,19.0,0.3,4.16,0.14,,19.1,0.53,0.84,8,General,Viện Dinh dưỡng Quốc gia,11002,2026-02-11T19:10:14Z
food_11003,food,v1,11003,Dứa hộp,"Pineapple, canned sweetened",Đồ hộp,Đồ hộp,100,per_100g,57.0,0.3,13.84,0.06,,57.1,0.18,0.84,8,General,Viện Dinh dưỡng Quốc gia,11003,2026-02-11T19:10:14Z
food_11004,food,v1,11004,Lạc chao dầu,"Peanut, oil fried",Đồ hộp,Đồ hộp,100,per_100g,680.0,25.7,10.3,59.5,,679.5,0.07,0.84,8,General,Viện Dinh dưỡng Quốc gia,11004,2026-02-11T19:10:14Z
food_11005,food,v1,11005,Mắc coọc nước đường,Pyrus pachis in syrup,Đồ hộp,Đồ hộp,100,per_100g,58.0,0.2,14.4,,,58.4,0.69,0.69,8,General,Viện Dinh dưỡng Quốc gia,11005,2026-02-11T19:10:14Z
food_11006,food,v1,11006,Mận nước đường,"Plum, canned sweetened",Đồ hộp,Đồ hộp,100,per_100g,62.0,0.3,14.9,0.1,,61.7,0.48,0.84,8,General,Viện Dinh dưỡng Quốc gia,11006,2026-02-11T19:10:14Z
